wiki_join_field,index_wiki,season,episode,main_segment_title_wiki,air_date,viewers,episode_overall,index_yt,channelTitle,title,publishedAt,videoId,duration,viewCount,commentCount,likeCount,dislikeCount,published_dow,main_segment_title_yt,duration_in_seconds,duration_time
2014-04-28,0,1,1,POM Wonderful LLC v. Coca-Cola Co.,2014-04-27,1110000.0,1,,,,,,,,,,,,,,
2014-05-05,1,1,2,Capital punishment,2014-05-04,1190000.0,2,52.0,LastWeekTonight,Death Penalty: Last Week Tonight with John Oliver (HBO),2014-05-05 06:30:02+00:00,Kye2oX-b39E,PT12M24S,12629811.0,8864.0,103823.0,2751.0,Monday,Death Penalty,744.0,0:12:24
2014-05-12,2,1,3,Global warming controversy,2014-05-11,1010000.0,3,224.0,LastWeekTonight,Eurovision and Crimea Coin: Last Week Tonight with John Oliver (HBO),2014-05-12 03:30:01+00:00,We1IvUe6KLo,PT6M56S,6799458.0,3084.0,45758.0,3725.0,Monday,Eurovision and Crimea Coin,416.0,0:06:56
2014-05-19,3,1,4,Right to be forgotten (Google Spain v AEPD and Mario Costeja González),2014-05-18,1030000.0,4,36.0,LastWeekTonight,Right To Be Forgotten: Last Week Tonight with John Oliver (HBO),2014-05-19 07:30:01+00:00,r-ERajkMXw0,PT7M,7177973.0,1686.0,49463.0,925.0,Monday,Right To Be Forgotten,420.0,0:07:00
2014-06-02,4,1,5,Net neutrality,2014-06-01,990000.0,5,5.0,LastWeekTonight,Net Neutrality: Last Week Tonight with John Oliver (HBO),2014-06-02 06:30:01+00:00,fpbOEoRrHyU,PT13M18S,15104714.0,8549.0,180036.0,2684.0,Monday,Net Neutrality,798.0,0:13:18
2014-06-09,5,1,6,FIFA,2014-06-08,950000.0,6,1.0,LastWeekTonight,FIFA and the World Cup: Last Week Tonight with John Oliver (HBO),2014-06-09 06:30:01+00:00,DlJEt2KU33I,PT13M14S,18142245.0,6178.0,147733.0,3019.0,Monday,FIFA and the World Cup,794.0,0:13:14
2014-06-16,6,1,7,Immigration reform,2014-06-15,910000.0,7,81.0,LastWeekTonight,Stephen Hawking Interview: Last Week Tonight with John Oliver (HBO),2014-06-16 03:52:18+00:00,T8y5EXFMD4s,PT6M6S,11573462.0,9748.0,156110.0,2665.0,Monday,Stephen Hawking Interview,366.0,0:06:06
2014-06-23,7,1,8,Dr. Oz's June 2014 Senate hearing and the Dietary Supplement Health and Education Act of 1994,2014-06-22,890000.0,8,38.0,LastWeekTonight,Dr. Oz and Nutritional Supplements: Last Week Tonight with John Oliver (HBO),2014-06-23 06:30:00+00:00,WA0wKeokWUU,PT16M26S,16817985.0,7022.0,123228.0,3777.0,Monday,Dr. Oz and Nutritional Supplements,986.0,0:16:26
2014-06-30,8,1,9,Burwell v. Hobby Lobby,2014-06-29,850000.0,9,280.0,LastWeekTonight,Uganda and Pepe Julian Onziema Pt. 1: Last Week Tonight with John Oliver (HBO),2014-06-30 06:30:01+00:00,G2W41pvvZs0,PT17M34S,8106378.0,7830.0,63746.0,7478.0,Monday,Uganda and Pepe Julian Onziema Pt. 1,1054.0,0:17:34
2014-07-14,9,1,10,Income inequality and wealth inequality,2014-07-13,840000.0,10,103.0,LastWeekTonight,Wealth Gap: Last Week Tonight with John Oliver (HBO),2014-07-14 06:30:01+00:00,LfgSEwjAeno,PT14M10S,16687198.0,8689.0,101955.0,4830.0,Monday,Wealth Gap,850.0,0:14:10
2014-07-21,10,1,11,Incarceration in the United States,2014-07-20,920000.0,11,102.0,LastWeekTonight,Prison: Last Week Tonight with John Oliver (HBO),2014-07-21 06:30:01+00:00,_Pz3syET3DY,PT17M43S,10263339.0,6288.0,95567.0,2190.0,Monday,Prison,1063.0,0:17:43
