channelTitle,title,publishedAt,videoId,duration,viewCount,commentCount,likeCount,dislikeCount
LastWeekTonight,Letter of the Week -- POM Wonderful (Web Exclusive): Last Week Tonight with John Oliver (HBO),2014-05-05T02:24:30Z,Bml8KwCmob8,PT3M57S,5070453,1224,57089,509
LastWeekTonight,FIFA and the World Cup: Last Week Tonight with John Oliver (HBO),2014-06-09T06:30:01Z,DlJEt2KU33I,PT13M14S,18142245,6178,147733,3019
LastWeekTonight,"Tony Abbott, President of the USA of Australia: Last Week Tonight with John Oliver (HBO)",2014-06-02T11:01:11Z,c3IaKVmkXuk,PT3M59S,5162985,5080,42772,852
LastWeekTonight,Salmon Cannon: Last Week Tonight with John Oliver (HBO),2014-11-10T07:30:01Z,l9qA8c-E_oA,PT4M27S,5384705,3015,93519,682
LastWeekTonight,Fan Mail Vol. 1 (Web Exclusive): Last Week Tonight with John Oliver,2014-09-01T03:00:03Z,knbw0gJHHBk,PT4M11S,5079548,4845,43211,740
LastWeekTonight,Net Neutrality: Last Week Tonight with John Oliver (HBO),2014-06-02T06:30:01Z,fpbOEoRrHyU,PT13M18S,15104714,8549,180036,2684
LastWeekTonight,Pennies: Last Week Tonight with John Oliver (HBO),2015-11-23T07:30:00Z,_tyszHg96KI,PT9M36S,9111055,7499,87953,2276
LastWeekTonight,Sugar: Last Week Tonight with John Oliver (HBO),2014-10-27T06:30:00Z,MepXBJjsNxs,PT11M34S,17586401,7686,112840,3517
LastWeekTonight,Singapore&#39;s Gambling Problem: Last Week Tonight with John Oliver (HBO),2014-07-21T06:30:01Z,HKMNKS-9ugY,PT3M20S,5088259,1141,45551,997
LastWeekTonight,Daylight Saving Time - How Is This Still A Thing?: Last Week Tonight with John Oliver (HBO),2015-03-09T06:30:01Z,br0NW9ufUUw,PT3M17S,7599406,3719,65241,1631
LastWeekTonight,Edward Snowden on Passwords: Last Week Tonight with John Oliver (HBO),2015-04-09T15:21:18Z,yzGzB-yYKcc,PT2M58S,4711824,2458,61075,900
